Answer,Question
/OrderCourierComplaint,Моя пицца приедет сегодня
/OrderCourierComplaint,Сегодня вообще ждать доставку
/OrderCourierComplaint,Я получу свою пиццу сегодня
/OrderCourierComplaint,"Помогите найти курьера, доставки давно нет"
/OrderCourierComplaint,Почему нет пиццы?
/OrderCourierComplaint,Почему нет заказа?
/OrderCourierComplaint,Курьер опоздал
/OrderCourierComplaint,Время ожидания не соответствует заявленному
/OrderCourierComplaint,Доставка долгая
/OrderCourierComplaint,Почему так долго везли
/OrderCourierComplaint,Долгое время ожидания
/OrderCourierComplaint,Время доставки превышает заявленному
/OrderCourierComplaint,Курьер очень медленный
/OrderCourierComplaint,Время доставки оставляет желать лучшего
/OrderCourierComplaint,Ожидание доставки заняло вечность
/OrderCourierComplaint,доставка хромает
/OrderCourierComplaint,Ваш курьер опоздал
/OrderCourierComplaint,Почему курьеры опаздывают
/OrderCourierComplaint,Почему курьер задерживается
/OrderCourierComplaint,"местоположение курьера, он сильно опаздывает."
/OrderCourierComplaint,Курьер задерживается уже на час
/OrderCourierComplaint,Курьер опоздал и не дал сертификат
/OrderCourierComplaint,Дайте номер телефона курьера
/OrderCourierComplaint,Позвоните курьеру
/OrderCourierComplaint,курьеры не привозят пиццу вовремя
/OrderCourierComplaint,"Курьер мало того, что опоздал, так еще и не выдал сертификат"
/OrderCourierComplaint,Я буду жаловаться на ваших курьеров
/OrderCourierComplaint,пиццу не везут
/OrderCourierComplaint,заказ не приехал
/OrderCourierComplaint,заказывал пиццу час назад
/OrderCourierComplaint,когда привезут пиццу
/OrderCourierComplaint,я давно жду
/OrderCourierComplaint,жалобу об опоздании
/OrderCourierComplaint,информацию о местонахождении курьера
/OrderCourierComplaint,сколько везти заказ
/OrderCourierComplaint,заказа нет больше часа
/OrderCourierComplaint,Жалоба на опоздание
/OrderCourierComplaint,у меня был отложенный заказ. нельзя привезти вовремя?
/OrderCourierComplaint,"Работник не приехал вовремя и не выдал сертификат. сказал, что вышлете смской"
/OrderCourierComplaint,опаздываете уже на  минут.
/OrderCourierComplaint,должны купон за опоздание курьера.
/OrderCourierComplaint,Уже на час опаздываете. Как так можно?
/OrderCourierComplaint,Заказ доставляете уже час 20 минут. Сам доехал 
/OrderCourierComplaint,мне 2 часа везут пиццу! я хочу 2 сертификата получить за опоздание 
/OrderCourierComplaint,Через сколько мне привезут пиццу? Курьера еще нет
/OrderCourierComplaint,Каждый раз опаздываете
/OrderCourierComplaint,"Ваш работник не приехал вовремя и не выдал сертификат. сказал, что вы мне вышлете смской"
/OrderCourierComplaint,Вы опаздываете уже на 20 минут.
/OrderCourierComplaint,у меня был отложенный заказ. неужели нельзя его привезти вовремя?
/OrderCourierComplaint,пицца у вас гавно
/OrderCourierComplaint,жалоба на заказ
/DeliveryZoneChangeType,Изменить доставку
/DeliveryZoneChangeType,Хочу изменить способ доставки
/DeliveryZoneChangeType,"Доставить на дом, а не курьером."
/DeliveryZoneChangeType,Можно забрать самому
/DeliveryZoneChangeType,Сам заберу из пиццерии
/DeliveryZoneChangeType,"Отменить курьера, заберу сам"
/DeliveryZoneChangeType,Изменить с курьера на самовывоз
/DeliveryZoneChangeType,Изменить с самовывоза на курьера
/DeliveryZoneChangeType,"Не смогу забрать, привезите курьером"
/DeliveryZoneChangeType,"Можете курьером доставить, а не самовывоз"
/DeliveryZoneChangeType,"Не смогу забрать, оформите доставку курьером"
/DeliveryZoneChangeType,Сам бы хотел забрать
/DeliveryZoneChangeType,"Сейчас приеду, заберу сам"
/DeliveryZoneChangeType,Хочу сам забрать
/DeliveryZoneChangeType,"Не доставляйте, я сам заберу"
/DeliveryZoneChangeType,Можно забрать самому?
/DeliveryZoneChangeType,"Я заказал на самовывоз. Не смогу ее забрать, можно доставить? Неудобно ехать и забирать самостоятельно"
/DeliveryZoneChangeType,"заказ сам приеду заберу, ждать долго?"
/DeliveryZoneChangeType,заказ свой взять в пиццерии и все
/DeliveryZoneChangeType,сама зайду в пиццерию за заказом
/DeliveryZoneChangeType,не смогу заказ дождаться. Давайте за ним заедем
/DeliveryZoneChangeType,"Мы сами поедем за заказом, доставка не нужна"
/DeliveryZoneChangeType,я не успеваю заехать за заказом. Привезите мне домой. Адрес
/DeliveryZoneChangeType,"заказ сделал в пиццерию, но приехать не успею. Можно на доставку поменять? "
/DeliveryZoneChangeType,"долго ехать до вашей пиццерии, можно доставку вместо самовывоза? "
/DeliveryZoneChangeType,Не могу зайти за заказом. Доставьте на
/DeliveryZoneChangeType,"изменить адрес, могу скинуть карту с меткой где я нахожусь"
/DeliveryZoneChangeType,заказ оформил в пиццерию. Не смогу сам подойти. Привезите по адресу
/DeliveryZoneChangeType,"заказывал пиццу домой, а сейчас надо на работу. Можете привезти мне на работу?"
/DeliveryZoneChangeType,"Можно оформить доставку, а не самовывоз?"
/DeliveryZoneChangeType,"Пиццерия скоро закроется, я не успею забрать заказ. Можно доставку?"
/DeliveryZoneChangeType,"Пусть мне привезут заказ, не хочу забирать"
/DeliveryZoneChangeType,Как переоформить заказ на доставку?
/DeliveryZoneChangeType,"Я ушла из дома,пусть курьер придет в соседний дом"
/DeliveryZoneChangeType,я нечаянно выбрал не тот адресс в приложении. Мне заказ другую улицу
/DeliveryZoneChangeType,можно мне доставку?
/DeliveryZoneChangeType,"час не хочу ждать, можно поменять с доставки на самовывоз "
/to_operator,Переведи на оператора.
/to_operator,Хочу пообщаться с оператором.
/to_operator,Хочу поговорить с оператором.
/to_operator,Можно поговорить с человеком?
/to_operator,Я хочу поговорить с живым существом.
/to_operator,Ты надоел. Дай трубку оператору.
/to_operator,Можно перевести меня на колл центр?
/to_operator,Хватит болтать. Дай к трубке человека.
/to_operator,Можно перевести меня на оператора?
Бортики большие,Бортики большие
Бортики большие,у мясной пиццы большие бортики
Бортики неровные,Бортики неровные
В беконе много сала,В беконе много сала
Вкус ненасыщенный водянистый,Вкус ненасыщенный водянистый
Волос в продукте,Волос в продукте
Вытекла начинка,Вытекла начинка
Ингредиент испорчен,Ингредиент испорчен
Ингредиенты распределены неравномерно,Ингредиенты распределены неравномерно
Кость в продукте,Кость в продукте
Креветки неочищенные,Креветки неочищенные
Лишний ингредиент,Лишний ингредиент
Наклейка контроль качества отсутствует,Наклейка контроль качества отсутствует
Нарезка ингредиентов не по стандарту,Нарезка ингредиентов не по стандарту
Не убрали ингредиент,Не убрали ингредиент
Невкусное тесто,Невкусное тесто
Орегано со стеблями/ветками/палками,Орегано со стеблями/ветками/палками
Отравление,Отравление
Отсутствует ингредиент,Отсутствует ингредиент
Отсутствует маркировка,Отсутствует маркировка
Отсутствует панировка,Отсутствует панировка
Перепутали ингредиенты,Перепутали ингредиенты
Продукт не порезан,Продукт не порезан
Продукт порезан не по стандарту,Продукт порезан не по стандарту
Пиццу не полили соусом,Пиццу не полили соусом
Плесень в продукте,Плесень в продукте
Порция меньше обычного,Порция меньше обычного
Посторонний вкус,Посторонний вкус
Посторонний запах,Посторонний запах
Посторонний предмет в продукте,Посторонний предмет в продукте
Продукт горький,Продукт горький
Продукт жирный,Продукт жирный
Продукт замороженный,Продукт замороженный
Продукт кислый,Продукт кислый
Продукт мятый,Продукт мятый
Продукт не упакован,Продукт не упакован
Продукт недопечен,Продукт недопечен
Продукт несвежий,Продукт несвежий
Продукт острый,Продукт острый
Продукт отсырел/размок,Продукт отсырел/размок
Продукт подгорел,Продукт подгорел
Продукт похож на разогретый,Продукт похож на разогретый
Продукт пресный,Продукт пресный
Продукт прилип к упаковке,Продукт прилип к упаковке
Продукт просрочен,Продукт просрочен
Продукт разваливается,Продукт разваливается
Продукт соленый,Продукт соленый
Продукт сухой,Продукт сухой
Продукт упакован неаккуратно,Продукт упакован неаккуратно
Продукт холодный,Продукт холодный
Сыр не тянется,Сыр не тянется
Тесто толстое,Тесто толстое
Тесто тонкое,Тесто тонкое
Фольга в продукте/прилипла к продукту,Фольга в продукте/прилипла к продукту
Мало начинки,Мало начинки
Мало соуса,Мало соуса
Много ингредиента,Много ингредиента
В продукте вкус моющего средства,В продукте вкус моющего средства
Вес/объем продукта не соответствует заявленному,Вес/объем продукта не соответствует заявленному
Волос на упаковке,Волос на упаковке
Ингредиент добавлен после выпекания пиццы,Ингредиент добавлен после выпекания пиццы
Испорченный продукт,Испорченный продукт
Испорченный соус,Испорченный соус
Кислое тесто,Кислое тесто
Кислый соус,Кислый соус
Коробка вскрыта,Коробка вскрыта
Коробка залита сгущенкой,Коробка залита сгущенкой
Лопнул соус/масло,Лопнул соус/масло
Мало специй,Мало специй
Мало сыра,Мало сыра
Много пены,Много пены
Много соуса,Много соуса
Много специй,Много специй
Наклейка контроль качества отклеена,Наклейка контроль качества отклеена
Насекомое в заказе,Насекомое в заказе
Некачественный кофе,Некачественный кофе
Неравномерно полита соусом,Неравномерно полита соусом
Пицца в диаметре меньше заявленного,Пицца в диаметре меньше заявленного
Продукт безвкусный,Продукт безвкусный
Продукт меньшего размера,Продукт меньшего размера
Продукт низкого качества,Продукт низкого качества
Продукт приготовлен не по стандарту,Продукт приготовлен не по стандарту
Продукт твердый,Продукт твердый
Размокшее тесто,Размокшее тесто
Сладкое тесто,Сладкое тесто
Упаковка мятая,Упаковка мятая
Фондан вытек,Фондан вытек
Нет ингридиентов для пиццы-пирог,Нет ингридиентов для пиццы-пирог
соус не доставлен,соус не доставлен
перепутали состав заказа,перепутали состав заказа
привезли неполный заказ,привезли неполный заказ
курьер дал сдачу неверно,курьер дал сдачу неверно
курьер не дал сдачу,курьер не дал сдачу
курьер опаздывает на 30 минут,курьер опаздывает на 30 минут
/OrderCourierComplaint,Курьер меня обматерил
/OrderCourierComplaint,Мне нахамил курьер!
/OrderCourierComplaint,мне нахамил кассир в пиццерии
/OrderOrderComplaint,бортики пиццы сгоревшие
/OrderOrderComplaint,Картофель подгорел
/OrderOrderComplaint,"Тесто сырое,есть невозможно"
/OrderOrderComplaint,не возможно есть 
/OrderOrderComplaint,Мексиканская вся залита соусом! Невозможно есть
/OrderOrderComplaint,"Пицца подгорела невозможно есть, ещё и курьер с опозданием приехал"
/OrderOrderComplaint,Пицца пришла в непригодном состоянии
/OrderOrderComplaint,пицца прилипла к коробке
/OrderOrderComplaint,не хватает соуса
/OrderOrderComplaint,не положили соус
/OrderOrderComplaint,не привезли соус 
/OrderOrderComplaint,В пицце мало соуса
/OrderOrderComplaint,не полили соусом пиццу
/OrderOrderComplaint,весь соус вытек наружу
/OrderOrderComplaint,В салате нет соуса.
/OrderOrderComplaint,вы соус в заказ не положили
/OrderOrderComplaint,пицца соленая
/OrderOrderComplaint,пицца жирная
/OrderOrderComplaint,пицца сальная
/OrderOrderComplaint,пицца острая
/OrderOrderComplaint,холодная пицца
/OrderOrderComplaint,пицца сухая
/OrderOrderComplaint,пицца горелая
/OrderOrderComplaint,Пицца испорчена
/OrderOrderComplaint,Пицца ужасно приготовлена
/OrderOrderComplaint,паста сухая
/OrderOrderComplaint,пицца отвратительная
/OrderOrderComplaint,плохая пицца
/OrderOrderComplaint,пицца вымокла
/OrderOrderComplaint,пицца на размякшем тесте
/OrderOrderComplaint,Пицца оставляет желать лучшего
/OrderOrderComplaint,начинка вся вытекла за края
/OrderOrderComplaint,привезли помятую пиццу
/OrderOrderComplaint,не убрали ингредиент
/OrderOrderComplaint,не убрали лук
/OrderOrderComplaint,не убрали оливки
/OrderOrderComplaint,просили убрать лук
/OrderOrderComplaint,"просил убрать грибы, а они там есть"
/OrderOrderComplaint,убрать орегано из картофеля
/OrderOrderComplaint,в пицце маслины
/OrderOrderComplaint,привезли не ту пиццу
/OrderOrderComplaint,"заказал одно, привезли другое"
/OrderOrderComplaint,"Вместо салата Цезарь, привезли салат греческий!"
/OrderOrderComplaint,привезли чужой заказ
/OrderOrderComplaint,не привезли подарок
/OrderOrderComplaint,не привезли пирог
/OrderOrderComplaint,привезли просроченный салат
/OrderOrderComplaint,Привезли сгоревшие рулетики
/OrderOrderComplaint,не привезли рулетики тыквенные
/OrderOrderComplaint,рулетики без сыра
/OrderOrderComplaint,"просили обычный картофель, а привезли с брынзой"
/OrderOrderComplaint,"Картофель просили с брынзой, приехал без брынзы"
/OrderOrderComplaint,"заказывал одно, привезли другое"
/OrderOrderComplaint,"заказывал пиццу с мясом, привезли с сыром"
/OrderOrderComplaint,заказывал другую пиццу.
/OrderOrderComplaint,заказывал пиццу без свинины
/OrderOrderComplaint,заказывал пиццу без мяса.
/OrderOrderComplaint,заказывал пиццу на тонком тесте
/OrderOrderComplaint,"Я заказала на тонком тесте, а привезли на толстом !"
/OrderOrderComplaint,состав пиццы не тот
/OrderOrderComplaint,не соответствует заявленному составу
/OrderOrderComplaint,в коробке другая пицца
/OrderOrderComplaint,"привезли маленькую пиццу, просил большую"
/OrderOrderComplaint,"привезли пиццу с маслинами, просил без."
/OrderOrderComplaint,"привезли странную пиццу из разных кусочков, а мы просили с сыром"
/OrderOrderComplaint,не положили рулетики
/OrderOrderComplaint,не доложили
/OrderOrderComplaint,мало ингредиентов
/OrderOrderComplaint,мало колбасок пепперони
/OrderOrderComplaint,не хватает ингредиентов
/OrderOrderComplaint,мало сыра в пицце
/OrderOrderComplaint,В додстере нет помидоров
/OrderOrderComplaint,В салате «Цезарь» нет курицы
/OrderOrderComplaint,"Цыпленок ранч не полит соусом сверху, поменяйте!"
/OrderOrderComplaint,Почему в додстере нет курицы
/OrderOrderComplaint,не хватает продукта
Картофель из печи,Картофель из печи
Компот,Компот
Кофе,Кофе
Крылья,Крылья
Кукис,Кукис
Кукуруза,Кукуруза
Кусочек,Кусочек
Маргарита,Маргарита
Маффин,Маффин
Мексиканская,Мексиканская
Молочный коктейль,Молочный коктейль
Морс,Морс
Морская,Морская
Мясная,Мясная
Мясная,мясная пицца
Овощи и грибы,Овощи и грибы
Пепперони,Пепперони
Пепперони с любовью,Пепперони с любовью
Пицца-пирог,Пицца-пирог
Цыпленок ранч,Цыпленок ранч
Салат цезарь 1 шт.,Салат цезарь 1 шт.
Салат греческий,Салат греческий
Салат-ролл цезарь,Салат-ролл цезарь
Сальса,Сальса
Сырная,Сырная
Сырники,Сырники
Сырный цыпленок,Сырный цыпленок
Сытные палочки с беконом,Сытные палочки с беконом
Сытные палочки с креветками,Сытные палочки с креветками
Сэндвич,Сэндвич
Сэндвич №1,Сэндвич №1
Сэндвич №2,Сэндвич №2
Сэндвич №3,Сэндвич №3
Сэндвич мясной ранчоси,Сэндвич мясной ранчоси
Сэндвич острый,Сэндвич острый
Сэндвич пепперони,Сэндвич пепперони
Томаты со сливками,Томаты со сливками
фондан,фондан
Цыпленок барбекю,Цыпленок барбекю
Чай,Чай
Четыре сезона,Четыре сезона
Чизкейк,Чизкейк
Пицца,Пицца
Сгущенное молоко (соус),Сгущенное молоко (соус)
Картофельные оладьи,Картофельные оладьи
Крылья Барбекю,Крылья Барбекю
Крылья Сладкий Чили,Крылья Сладкий Чили
Крылья Классические,Крылья Классические
Кока-кола,Кока-кола
Кока-кола Зеро,Кока-кола Зеро
Соус,Соус
Сок,Сок
Куриные кусочки,Куриные кусочки
Четыре сыра,Четыре сыра
Картофель с брынзой,Картофель с брынзой
Супермясная,Супермясная
Сытные палочки с чоризо,Сытные палочки с чоризо
Рулетики с сыром,Рулетики с сыром
Рулетики с корицей,Рулетики с корицей
Утка терияки,Утка терияки
Фанта,Фанта
Доктор Пеппер,Доктор Пеппер
Оле - Оле,Оле - Оле
Стартер,Стартер
Сырные наггетсы,Сырные наггетсы
Паста,Паста
Паста Цыпленок и грибы,Паста Цыпленок и грибы
Паста Болоньезе,Паста Болоньезе
Жар-Баран,Жар-Баран
Спрайт,Спрайт
Чизбургер,Чизбургер
Гавайская,Гавайская
Пицца с тунцом,Пицца с тунцом
Рулетики с брусникой,Рулетики с брусникой
Пунш,Пунш
Рулетики с тыквой,Рулетики с тыквой
Пицца Оливье,Пицца Оливье
Пицца из половинок ,Пицца из половинок 
Пончики,Пончики
Комбо,Комбо
Паста 4 сыра,Паста 4 сыра
Мороженое,Мороженое
Том Ям,Том Ям
